p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[-0.43105609904614633, 0.19467683115282383, 8.016924982410238, 8.085490025266866]","[-0.3612046814314742, 0.30323099921484037, 6.74880435166405, 6.766087617728317]","[0.5521886428409191, 1.2642137951245394, 0.9419042310670475, 1.6737670120215937]","[0.24007213763670165, -1.762121625492202, 13.32378606349577, 13.474655344983221]"
"[-0.35200233333398884, 1.0612296455286077, 4.402801106164397, 4.638440031912429]","[1.1508855014843222, 0.23026626457155225, 1.8851138472578026, 2.223145928681622]","[0.789428035987227, -2.018569078109098, 14.396310290723319, 14.558939911506297]","[-1.5883112041375615, 0.7270731680089388, 8.34719438449159, 8.579474127899646]"
"[0.7745258558161782, 1.4061896111790408, 2.9271694916526396, 3.4678430043416917]","[-0.3373318877839021, -0.7712791390998333, 15.763040738190313, 15.785857000484256]","[0.143547589907894, -0.8252188062530038, 0.881588144902139, 1.2206364155464113]","[-0.5807415579401709, 0.19030833417378948, 9.459621253892035, 9.52566357962765]"
"[1.4035360884606698, -0.20238177625061643, 10.859220593643123, 10.991537571348093]","[-0.4410390272140797, 0.9416757529888539, 6.377035766286762, 6.4621217432634035]","[-1.8173908636198781, -1.780504402545152, 5.882861300422618, 6.410329646096662]","[0.8548938023732873, 1.0412104258069144, 5.912301968284609, 6.13601103929184]"
"[1.0657036694293922, -0.09187357018282626, 10.874005631869885, 10.966700410417683]","[0.6584284780694184, 0.0015404482884353032, 0.21537236127275944, 0.7007705049999924]","[-1.9439424490377455, -0.7665283321103857, 6.760215305596215, 7.076591871803835]","[0.21981030153893277, 0.8568614540047752, 11.181826329898254, 11.255937212778493]"
"[1.6523618340273192, -1.048032010857756, 12.017314147958704, 12.211669189879208]","[-1.6674835842367093, -1.1683270434011124, 5.7383520113688515, 6.089773148762294]","[-0.06964554296949992, 1.1846284193771084, 8.579445892985994, 8.661769474956584]","[0.08476729317887927, 1.03173063488176, 2.696307576323569, 3.0367881864019215]"
"[0.42311691208301627, 0.09695610829942482, 1.5381334480073985, 1.8532774368912945]","[-0.020164219037189724, -0.08184144306095706, -0.10852969606524653, 0.17334048985650696]","[-2.2582174434370006, -0.49738981333396604, 17.18369048228887, 17.338896298562965]","[1.8552647503911843, 0.482275148095501, 10.418125394406097, 10.634485774689239]"
"[0.021578866962577988, -0.45381738625063367, 8.750285494256842, 8.812165820304816]","[-1.2195117637620403, -2.207732280405493, 6.820836530397048, 7.272981874806321]","[0.8897775603631399, 0.356720521645999, 4.939084083063604, 5.032362152113599]","[0.3081553364363209, 2.3048291450101215, 8.521213520919613, 8.882490152775262]"
"[0.24985703001434942, 1.9037710446752123, 6.412979223752938, 6.759691531147125]","[-0.8887250714213965, 0.09048252477196211, 7.00714714046515, 7.064651017633851]","[0.9190261388871387, -2.724444135406645, 8.881805854228626, 9.336211423060393]","[-0.2801580974800916, 0.7301905659594606, 6.72948741019044, 6.839446028158676]"
"[0.965889768769093, 0.6823971987095415, 12.281606388487898, 12.374038096351175]","[-0.5193532125769335, -1.3293315401222199, 4.416102729374516, 4.6421952815807686]","[1.1852994449502896, 1.0880257394799173, 2.5960729964585196, 3.056058474551068]","[-1.6318360011424502, -0.4410913980672386, 9.737637514316166, 9.927708147516977]"
"[-1.2315190959347873, -0.013257223737037213, 5.792330142816815, 5.995686605135521]","[2.0858564447052594, -0.36651410585098465, 13.66816391105549, 13.831666494322004]","[-0.3654787059076822, 1.4995581350086722, 7.054229530255726, 7.221881137434939]","[-0.4888586428628198, -1.11978680542067, 2.5166960445090094, 2.9507657631074675]"
"[-0.7792306141942612, -0.04911952390577504, 18.161680868633184, 18.202654185524345]","[1.1017263962551649, 1.3172381916502283, 5.2605109934881895, 5.53471381656915]","[-0.741293777592194, -0.6977346913838192, 0.7647160954915535, 1.2776167202746]","[0.41879799553129227, -0.5703839763606308, 4.844511671024178, 4.985015277631901]"
"[-0.16427663569807546, -0.8874010390501478, 10.309517918124223, 10.391389775542633]","[0.5923415686758737, 0.4057137889517168, 7.077598192477932, 7.114705334703459]","[-0.20729699195809825, 1.626213188416066, 1.4524331211026325, 2.192776085534763]","[-0.22076794101970057, -1.1445259383176374, 10.191870396932323, 10.301128804219147]"
"[1.2195455498176833, -1.1658835898669868, 10.943448406199169, 11.11242517447602]","[0.5768470919114954, 0.1484917619027123, 5.0916827967899545, 5.127494484335452]","[-2.863736378319905, 0.8814288517511157, 7.393611748963083, 7.978380861589715]","[1.0673437365907255, 0.13596297621316, 5.602676676684918, 5.781699479598826]"
"[-0.0684599630173359, -0.9272058526571743, 1.954844551542764, 2.3592729868369364]","[-0.8457476252824279, -0.7047281355604784, 5.259105660498231, 5.374131255558423]","[2.307479090452087, 0.352571874958189, 11.17020685608136, 11.411987184557129]","[-1.3932715021523026, 1.2793621132594588, 10.647262560514854, 10.854608573047614]"
"[-0.27258137398692994, 0.31935239167784923, 1.0277170601812209, 1.4535622646747859]","[-1.346562904931651, -0.014610108217522122, 13.027629806021395, 13.097471018784548]","[0.7564423400286329, 1.3723480775743633, 4.585200312344618, 4.84672773911422]","[0.8627019388899382, -1.6770903610346681, 10.39087245008995, 10.60223897742652]"
"[0.7208828804976044, 0.910933733979917, 2.4851434031119073, 2.8992696451195688]","[1.0872209958534873, -0.6023246887402076, 5.9387800951463285, 6.068370222387628]","[-2.0925480042865146, -1.2532636515188935, 17.037933387836638, 17.211965741070493]","[0.28444412793541524, 0.9446546062791711, 3.5695627425422387, 3.8203943914223126]"
"[0.07842285882331688, 0.3517467027055418, 0.5630130154508297, 1.1520476939785418]","[-0.1724562037846607, 0.3165855233901093, 15.430139078280522, 15.434711630733101]","[0.48570039689718475, -1.5185783301088922, 4.556560399562223, 4.828601382185635]","[-0.39166705193583384, 0.8502461040132133, 8.481707135343552, 8.584639293102738]"
"[-0.9619896695293361, -0.28316638814438755, 3.1099909865695583, 3.3997066947287955]","[-0.23098177360463898, 0.8195762230331679, 11.860066018433336, 11.891063339317473]","[2.3667601249211407, -0.7656835861609207, 11.153498462011076, 11.42801454313392]","[-1.1737886817872096, 0.22927375127213911, 2.9078641616229177, 3.2812154228195833]"
"[0.41664098374148995, -1.2150363494416718, 14.13904377434666, 14.228240096325077]","[0.8195162901701615, -0.32948164908863703, 0.9468045005162453, 1.2991410555063858]","[-1.36847082279299, 2.08744081274146, 6.806420358956378, 7.250423660401806]","[0.1323135488813383, -0.5429228142111512, 7.139150994817829, 7.222195187766731]"
"[-0.17416121794918338, 0.4288564261478311, 2.659704541586026, 2.858081971988061]","[1.4433781210853704, 0.7636025849807702, 12.756661861809649, 12.861182479761732]","[-0.366485897631337, -1.733130276498093, 12.02681614781193, 12.157035935404272]","[-0.9027310055048767, 0.5406712653695157, 1.5882370774294507, 2.1236996128458845]"
"[-0.6021336307465832, 1.4088542592420608, 4.475135040837854, 4.822304761499356]","[0.2676511016669879, 0.8040235806457503, 14.385174496787496, 14.41049964249843]","[-0.7820046596627173, -0.367757790967146, 1.13736780671973, 1.4323219684406467]","[1.116487188742309, -1.8451200489206618, 9.033742284292007, 9.334873627561546]"
"[2.3680682793851946, 0.34847377457703405, 7.36267980912254, 7.798627421863607]","[-0.3206761579791675, -1.1666966152543252, 3.030464194051667, 3.2647957110262498]","[-1.8367476022452551, 1.248499491384129, 14.324108001798226, 14.495641634452895]","[-0.2106445191607546, -0.430276650706838, 4.314167623664635, 4.440935232657206]"
"[-0.5456297467764165, -0.887260300076887, 5.28378744740815, 5.466599198407704]","[1.0553533237649637, 1.1283510502875478, 5.198188500132712, 5.4239537264381905]","[-1.286083654260265, -0.2685407224121225, 1.4226435447247014, 1.939382260839756]","[0.7763600772717187, 0.02744997220145734, 17.12680013637154, 17.17006481431434]"
"[-0.06530455782628344, -0.6356990194294941, 13.948032463039608, 13.994153845966082]","[0.9058979120961423, -0.2957238848470042, 0.39886203977296497, 1.038440264504899]","[-0.4301695028497585, 1.49979106705886, 5.843663809887629, 6.049296602247733]","[-0.4104238514201002, -0.5683681627823604, 8.840861315936907, 8.918109287281288]"
"[0.33731588058190454, 0.21976865740390572, 9.16145386079732, 9.218170721763183]","[-1.149852667932507, -0.7285287376196605, 3.019564037680156, 3.3138868221628326]","[-0.441560173342463, 2.200614726987645, 9.616633531363512, 9.875651100197203]","[1.2540969606930625, -1.6918546467718882, 7.233768198796113, 7.592291355876773]"
"[0.0017759478110994894, 0.32962462082211763, 5.6868399020596225, 5.77314108283214]","[0.5584218680575592, -0.5814274076972203, 6.860434646304819, 6.908445553257978]","[0.6647020488437007, 2.418762987844954, 6.044594220859478, 6.54526745923476]","[-1.2248998647123581, -2.1669602009698496, 10.439550859413194, 10.773145904675124]"
"[0.12556868595298726, 0.1142552040043979, 1.1163404929952456, 1.4681253995551309]","[-1.0702211704938298, 0.7992569204459414, 3.9524779939101875, 4.173419567208911]","[1.3484995913710245, 0.9421863442098564, 17.026379455024436, 17.10599097435123]","[-0.4038471068301833, -1.8556984686602047, 6.936221686707185, 7.2524640588846765]"
"[1.281847743768648, 1.1747089068458387, 3.6750616097461055, 4.172470111988982]","[-1.671415501603025, 0.9192670535786489, 14.022064407048298, 14.151612471487791]","[0.30214845253090994, -1.4531208603926515, 8.347969452576283, 8.479540760936636]","[0.08741930530348335, -0.6408551000318295, 2.9863241592662977, 3.1963766555864632]"
"[0.9949820482011672, -1.7905678512047902, 11.442759797129732, 11.66247094859418]","[-2.2835228386863213, 2.1974596618629256, 9.780024030357719, 10.281212922980206]","[0.7607759516777258, -0.22355526070367376, 2.1663733482771783, 2.3093492807128833]","[0.5277648388074325, -0.18333654995446655, 5.642262452872457, 5.74696684771271]"
"[0.9421165274066284, 0.7439880412978013, 5.165481343652821, 5.385504026032866]","[-0.8747016604815954, -0.22168503719794075, 5.687635911618744, 5.759740716965121]","[1.917004596460083, -0.45299590423061065, 3.5390196084921715, 4.051658341266558]","[-1.9844194633851062, -0.06930709986925643, 14.63928276487339, 14.803096915735468]"
"[1.013813822037685, 1.6835205988879494, 4.333497301572117, 4.849908584844823]","[-0.6986765122257443, -0.29507877660330123, 1.0404089943528774, 1.2918339063641255]","[0.4881292578908869, -0.8390228105999586, 18.524594914401447, 18.550310234730528]","[-0.8032665677028238, -0.5494190116846668, 5.132918418310656, 5.307947274060511]"
"[0.3669454944883611, 0.8522829296140677, 5.917570856953859, 6.0629229238949165]","[-0.26472084353743053, -0.9403841708939292, 11.325436211227208, 11.367984364055552]","[-1.7435043534103198, 1.2147401663034432, 6.559446176039247, 6.895860994198735]","[1.641279702459381, -1.1266389250235802, 5.22896638441682, 5.673231717850818]"
"[0.10637552357072438, 0.7374536338308698, 3.2308185383031747, 3.445823034848533]","[-0.21413634978100593, 0.41518337908017083, 0.6148254489425817, 0.7793622778871256]","[0.0461060397504309, -2.7409073171158997, 21.266018350150993, 21.442233996714144]","[0.0616547864598502, 1.588270304204859, 3.919757291240315, 4.33258069055015]"
"[1.035110396667994, -1.0389791207203336, 4.3882384186936445, 4.721008569348912]","[0.22017815165996055, -1.2355191602410853, 6.858928636449198, 6.973596752512871]","[-1.5478450703625293, 1.3727724170865325, 15.664707905210932, 15.801093817818465]","[0.29255652203458377, 0.9017258638748855, 2.1195446682833, 2.504300860319711]"
"[0.8044596474198265, 1.5602398738351688, 15.961700170605305, 16.08532655778295]","[1.224661052626912, -0.7128487056110772, 2.5910585652735945, 2.955113546474027]","[-1.8161857962815289, -0.15540570011292165, 4.355033813844929, 4.722305042131339]","[-0.2129349037652118, -0.6919854681111729, 6.123627078913277, 6.237254853611682]"
"[0.15786518394421423, -1.8861281737076856, 4.987216079719134, 5.416186802146756]","[-0.8597418065430861, 0.2064788640294889, 17.746362543182826, 17.768689783499944]","[0.5688405683262376, 1.4367780060276236, 4.622170165149851, 4.87478525469008]","[0.13303605427263254, 0.24287130365058157, 1.6756708405852119, 1.9403381596631317]"
"[-0.4769555206356116, 1.1219519318810243, 2.737483289517762, 3.140132451424516]","[-0.6235032754874811, -1.3609368326624478, 9.596958392686, 9.713582212600619]","[0.9307813082123708, 1.2565909931849335, 14.200457645813382, 14.286690860075849]","[0.16967748791080914, -1.0176060924035397, 2.496520300619885, 2.8595944758989376]"
"[0.39618502693562374, 0.9610955685138503, 2.2611310016778594, 2.6596494167686204]","[-0.35881051008276965, 1.5218136572124246, 3.9511602564769808, 4.250587344679715]","[-0.7806465088383926, -1.43465162769784, 6.90649819164061, 7.097782410634794]","[0.74327199198553, -1.0482575980284339, 15.912630178841658, 15.991980827916873]"
"[-0.46282168304000654, 1.4912962614976113, 10.16458571709157, 10.32653502371123]","[-1.8826506310943512, -0.932733806178672, 5.414456163472434, 5.808774820138678]","[0.6802402139231789, 0.5596038176017484, 6.699956904465846, 6.758436898867686]","[1.6652321002111643, -1.1181662729206923, 6.752420843607251, 7.106253257282397]"
"[-0.2850226567194668, -1.2956090133426361, 3.5616918411302083, 3.9148235908474334]","[-0.8772733394684793, -0.2785517502401917, 1.6227350962335496, 1.8685910187133405]","[1.714116199334811, 1.7332618209764437, 8.877106703858626, 9.20633357692042]","[-0.5518202031468703, -0.15910105739362498, 14.96988598741471, 15.010251813518789]"
"[-0.8039066511378328, -1.6631521345098645, 13.112602809472271, 13.27527957186712]","[-0.3166989716055174, 0.23105516614562716, 6.401732189360862, 6.414594559727183]","[1.4088075036599947, 1.476170314288754, 2.5194811809593585, 3.2438813808967217]","[-0.288201880916642, -0.04407334592451288, 6.997603448844629, 7.066244487508985]"
"[0.9028610317609337, -0.26788120961197653, 7.157312429530718, 7.279724853662706]","[2.3908355488954918, 0.5132298706643192, 8.154592235461708, 8.51399070128814]","[-0.8860545515728526, -0.3417411390963889, 2.1736535749223265, 2.374407958049854]","[-2.4076420290835747, 0.09639247804404605, 11.545861388722338, 11.831876486999281]"
"[-1.3677740707860475, -0.4622914992552519, 11.280869324082268, 11.411524279955007]","[2.071318497331247, -1.2927365070125165, 7.134384276110617, 7.54136132313841]","[-0.6004696002772288, 0.590664186815947, 0.9863612239106715, 1.3013531417115791]","[-0.10307482626797665, 1.1643638194518244, 9.629804804533544, 9.745761255194996]"
"[0.5245116647693776, 0.5131200561076986, 17.873360048490888, 17.91300528798653]","[-1.324226948725402, -1.9560931785866031, 6.365994672050178, 6.790944655390653]","[0.20846062572046536, 0.9711957572052154, 1.6256748712699707, 1.9080512129740685]","[0.5912546582355614, 0.4717773652736916, 3.1663900368260745, 3.3879988436487496]"
"[-1.3457946287940128, 0.009091019106951943, 3.927898152128719, 4.256757459498886]","[2.5276712908754697, -1.0028350724152673, 7.153913126380156, 7.654047097447239]","[-0.04602597595706642, 0.6806860421428803, 7.482007621138514, 7.513790889702066]","[-1.1358506861243902, 0.3130580111654348, 10.467600728989725, 10.575404553351817]"
"[0.2863040402716899, 0.4814445102720584, 1.0310051591885214, 1.50235974526887]","[1.2614475386190218, -0.2722537746049965, 11.915725950806843, 11.985869203281434]","[-1.8101764198441486, -0.8991610072089855, 13.659777896569864, 13.808907450787968]","[0.2624248409534413, 0.6899702715419334, 2.424910622071926, 2.7028636006617774]"
"[-0.265295413663723, 0.9904889719775558, 4.034652898931629, 4.267344422584325]","[-0.6894502980087247, 0.355183254351531, 2.419712490353461, 2.543161223071124]","[1.3146398012875338, -2.57823755406078, 19.61398334693129, 19.82662586117367]","[-0.35989408961509606, 1.232565327731728, 2.963070892420597, 3.3628684931707475]"
"[0.8960264044674168, 1.485508192035427, 5.716121233396034, 6.046816865671737]","[-0.8440509273974743, -3.129634335023842, 14.720866198256457, 15.07388796160215]","[0.2341198004677268, 0.6089280495626177, 1.4442639698142505, 1.5882907410114813]","[-0.28609527753766717, 1.0351980934258063, 7.150168227170357, 7.291004431714622]"
"[0.8741653248832203, -1.8138558744655249, 5.3457806145621385, 5.788951794027449]","[-0.3653744032282086, 1.9226719972585167, 4.8501453625412365, 5.231179571981896]","[-0.05278885372199088, 0.34389578378975955, 14.278249769677569, 14.282878948988094]","[-0.4560020679330176, -0.4527119065827693, 4.55724388185611, 4.696989685002505]"
"[-1.3079768207392752, -1.11999269988568, 12.083386195348854, 12.241477169987277]","[0.28631224885435813, 1.471618265099437, 4.759169712217126, 4.990841109940003]","[0.7822363818315796, -1.3766434915387806, 10.23975198011485, 10.361984621060149]","[0.23942819005333943, 1.0250179263250236, 1.9491117409562717, 2.4056970990125626]"
"[-0.3913709189895351, -0.9026581761216443, 8.195145605304685, 8.307149259359592]","[1.2876527335849237, -0.7937596615321239, 1.8244716580268048, 2.372333114571264]","[0.1746078861873279, -0.26070760757061817, 9.495677148164736, 9.501447494235075]","[-1.0708897007827132, 1.957125445224384, 9.516125217140882, 9.819070131834064]"
"[-0.8081500312629247, -1.4488632619492086, 8.547797689732251, 8.757711511315748]","[0.6014206055395274, -1.4689555947288635, 5.019816156327796, 5.265857493357214]","[-1.100129367254788, 1.1091564469088286, 5.173845456612025, 5.405585358708595]","[1.3068587929781823, 1.8086624097692414, 10.289960325965028, 10.570845636618433]"
"[-0.4432377855705678, -0.6391545854621117, 2.7743775132400215, 3.0302645512612636]","[1.4143091843198683, 2.294726332704684, 19.052641106712617, 19.242669673541123]","[-0.7991862440782852, -0.44946402640758354, 4.688208345605049, 4.778198161286668]","[-0.17188515467101723, -1.2061077208349955, 2.516192663079358, 2.9488676139108803]"
"[0.7720521481378884, 0.0314695913122459, 4.054835126747785, 4.233095451996495]","[-1.1855166364172196, 0.439585947475997, 9.329887381102061, 9.415765909231805]","[-0.34666397393485393, -2.424323625778987, 8.04376043695647, 8.408969409710359]","[0.7601284622142015, 1.953268086990766, 7.602936683830723, 7.942169229061264]"
"[0.039270363879464906, 0.8159661763758067, 15.969354845465855, 16.01773989952566]","[-0.9445214851327834, -0.5658011613015925, 4.235052219657917, 4.377108943835088]","[1.5886432347305663, 0.21431932752077976, 1.5877630712407076, 2.258733114992535]","[-0.6833921134772505, -0.46448434259499255, 7.239249492272624, 7.346418041646707]"
"[-1.6184897197552408, 0.4290613090261619, 13.620755951781701, 13.75532440998166]","[-0.29751334833574306, -1.0866813658107037, 2.5924170965496534, 2.8286358193809784]","[1.7833784029205926, 1.4909294586938069, 5.239533004546132, 5.732990397471187]","[0.1326246651703892, -0.8333094019092655, 7.578713575759625, 7.683049373166177]"
"[-0.7499181072644553, -0.7393156922269154, 3.995820641035769, 4.237440477657187]","[2.3475716573820904, 1.1581007357300621, 18.605870975342597, 18.78940894133454]","[-0.5056437815458088, 0.6782634350432384, 1.5578644785720384, 1.7759004104096405]","[-1.0920097685718233, -1.0970484785463819, 4.871863533686739, 5.197250170598665]"
"[1.3848349451540474, -0.39208481999036665, 9.462602136507124, 9.617312091806102]","[0.458649060372205, -2.033961017867129, 5.6860358731151255, 6.057187791879948]","[-0.8800282880529192, 0.8690848880013404, 2.9452853168566815, 3.19618953458352]","[-0.9634557174733313, 1.556960949856161, 10.937496302158179, 11.129310581730428]"
"[-0.6692455063091263, -1.0557870564167084, 3.6643495987638706, 3.9837655784642947]","[0.6897545563378289, 2.5671090705769797, 10.984593613138308, 11.302135673711865]","[1.1639942138631685, -0.7099300882728973, 7.39020062365371, 7.5156577976220955]","[-1.184503263891853, -0.8013919258873555, 6.992275793081313, 7.198440950201842]"
"[1.374766461824603, -1.9006009485175321, 9.791746415671229, 10.112414103707277]","[-2.24359626731432, 1.1716033387228688, 9.934205196299681, 10.252120516710917]","[0.9490644237870987, 0.3838529203954508, 7.498616251464125, 7.568915090333644]","[-0.08023461829738024, 0.34514468939921106, 1.8068517652020568, 2.0665502892481458]"
"[1.0378331073294782, -0.9441895564351699, 3.04812262107938, 3.4842498957839165]","[1.2195270615164429, -0.023309371872965945, 14.176345540258703, 14.229115435274425]","[-1.6919307609672782, 0.267115612726278, 9.356587081431655, 9.512668704199006]","[-0.5654294078786563, 0.700383315581865, 2.450364385867347, 2.7739659647426307]"
"[-0.47032910189098864, -0.4674896372805497, 2.1476148346501236, 2.4356436211078916]","[-0.6588733316644932, -0.39353716459710025, 16.01574164437214, 16.03446692594855]","[-0.7545978752165766, 1.472906850657815, 4.633477682105077, 4.921295722421683]","[1.883800308772078, -0.6118800487801797, 6.2345854675096595, 6.608593730521769]"
"[1.7289566395111577, -0.8547899497507514, 6.392806434943038, 6.743017527794045]","[-1.5912275880326034, 2.1459989603639666, 12.119623541839568, 12.411033606580682]","[-0.5076217677511471, -1.014856091890626, 8.462095869979162, 8.538491838259537]","[0.3698927162726045, -0.27635291872259643, 2.056893781875271, 2.307457027365662]"
"[-0.7546486056112668, 1.5352216348345762, 5.388884893319808, 5.731215815640658]","[-0.7792850821423293, 0.6835772103299005, 3.880513068485291, 4.017973161854261]","[0.2511403709699518, -2.447950841713335, 15.53544547715153, 15.729487105302827]","[1.2827933167836465, 0.2291519965488658, 4.226576189680449, 4.521323917202219]"
"[0.4522510198072433, -0.5853338466021225, 6.210207125566514, 6.324094685037206]","[-1.4429141732478021, -0.15058200089808954, 9.408214956102716, 9.519997296404693]","[0.5490407090217188, 2.260303147593593, 10.095394600904887, 10.360432991923076]","[0.4416224444188341, -1.524387300093367, 3.317602946063084, 3.7954750266351196]"
"[0.14897920827590969, 0.3248790005669516, 8.243495109861131, 8.304414918692121]","[-0.584785287394931, -1.3894278580034927, 6.639189617409005, 6.809000366707677]","[0.8451696999164497, -0.12544956625490686, 0.24583238824161494, 0.8953471904255812]","[-0.40936362079742883, 1.1899984236914516, 13.902902513125353, 13.991237524174615]"
"[0.5330346254238252, 0.17573253095298594, 7.330599492211817, 7.411683418464122]","[-1.555262409273313, -1.5329532286529053, 7.172533637829368, 7.498345761679291]","[1.1763239452445566, -0.41868443211601153, 1.741416634334824, 2.1453974422362987]","[-0.1540961613950682, 1.7759051298159352, 12.786869864261087, 12.944573377620276]"
"[0.29163554576398376, 0.5983128237904592, 6.279402486441171, 6.383907851729434]","[-1.5928097093224756, -0.6326234496102217, 17.600722507013398, 17.684282614258365]","[0.8660000151134365, 0.7149065601694624, 4.258569358652293, 4.4054084954026695]","[0.43517414844502145, -0.6805959343496959, 0.8927252765301983, 1.5264010386094817]"
"[0.16005181852307276, 1.2570178346460688, 5.431596781491445, 5.655820750688891]","[-0.389426857369465, -1.7109088229072718, 5.435073371227919, 5.71227174083459]","[1.0205192422263658, -0.17127025818056757, 16.194989667374315, 16.228359342965522]","[-0.7911442033799669, 0.625161246441751, 1.969759808543519, 2.403548165511089]"
"[-1.1069080552674462, -0.8027106367959066, 7.1735618336681, 7.362739540190518]","[-0.765411619864244, -1.5428586817019472, 11.373939962443286, 11.504083698485276]","[1.0626962146051704, 0.9369627952950366, 7.305246449851691, 7.442110710701501]","[0.8096234605265007, 1.408606523202856, 3.17867138267395, 3.6910660506226174]"
"[1.3550629945806025, 0.9143345365280462, 3.1487323990090585, 3.6697511401351246]","[0.9249343008650261, -0.9152375175109208, 9.529626744066734, 9.618633617545278]","[-1.5911318519278987, 0.035771549564889704, 4.037889182126235, 4.341508128988573]","[-0.6888654435177292, -0.03486856858201415, 12.315171303435065, 12.370107113331006]"
"[0.1872480960509883, 1.7834083043046645, 6.735752722415418, 7.033230133647574]","[-1.1458263248384348, -1.1696595327296408, 18.31991236578433, 18.39324262038044]","[-0.21951843564871543, 0.06332829816450687, -0.017499337388408136, 0.25232648832634474]","[1.1780966644361608, -0.6770770697395313, 3.993253877825775, 4.3212007576456415]"
"[0.6431660509441613, -2.1058600073053984, 10.051389205739202, 10.332428961802252]","[0.9162272249157228, -0.4960089156622547, 4.081781650767071, 4.213977008669597]","[-1.6665563305818702, 1.540547669637665, 12.142321725362063, 12.3530497295442]","[0.1071630547219749, 1.0613212533300027, 2.755927046768778, 3.1005442999839534]"
"[0.46817401655828833, 0.28255897335332786, 3.847950923649314, 3.998263015360596]","[-1.390713418690769, 0.6192055803559768, 2.9962451808348023, 3.362461622131966]","[-0.19627556317373457, 1.0479550781817926, 15.235750085101655, 15.273374814075154]","[1.118814965306223, -1.949719631891106, 6.951473439051265, 7.365900548432213]"
"[1.5797268722553832, -0.8415670790143082, 13.700318825722949, 13.848568966209076]","[-1.3357442321587607, 0.8635950609334081, 2.3969284765180596, 2.878617518448946]","[-0.5022921806481996, 0.18409776701659897, 11.578440058554687, 11.591273753348624]","[0.2583095405515679, -0.20612574893569333, 1.3557322678414403, 1.6815397619933812]"
"[1.9838313646508317, -0.14415691868805555, 14.609886836764472, 14.774488682510329]","[-1.3999479498577019, 0.41153740973304603, 12.030134672415656, 12.118767311543776]","[-0.04932963251051792, -0.7319206326531147, 0.553369966233474, 0.9249449484375774]","[-0.5345537822826011, 0.46454014160812657, 1.8380281532234708, 2.1817990575082797]"
"[-0.10860230223022842, -0.05605536780954462, 0.5642642819100345, 1.101673812947106]","[0.09509748404396846, 1.0543471797963713, 3.4761186383137987, 3.6352793438211357]","[0.7792675434681222, -1.1594483353513203, 21.817749498214365, 21.86268362133178]","[-0.7657627252818471, 0.16115652336449193, 3.173287210198983, 3.4003632219000446]"
"[-0.09736776280056816, -0.03915915609362002, 5.248226505775239, 5.33247125849212]","[-0.16614567102431332, -0.17611420662991184, -0.06417208020996183, 0.2718497132966595]","[2.298406734287949, 1.3115909188483763, 12.183803382539018, 12.468326781567725]","[-2.034893300463062, -1.0963175561248415, 11.66356182053283, 11.927352246643514]"
"[0.45324968202080074, 2.115450144917099, 9.419623969721103, 9.710315889136155]","[-0.5021408354771392, -1.524906493470007, 2.1174338703314532, 2.6593561327267743]","[0.5560431753888144, -0.8580925210753313, 10.48082723375282, 10.53111627057458]","[-0.5071520219324757, 0.26754886962823554, 7.013534554831731, 7.099211707562485]"
"[-0.1368578790319424, 0.41353647785760733, 1.2639981077330065, 1.6333364809213728]","[-0.7170641087837066, -0.5751010758662572, 2.3914219382673587, 2.5641732943306934]","[0.5091689542858494, 0.3327366903461636, 24.357022982413998, 24.364845554772533]","[0.3447530335297929, -0.17117209233752162, 1.0189766002227554, 1.4376446699754153]"
"[-0.3700476732132276, 0.616108509920035, 4.81190535513071, 4.954928099293269]","[-0.471761066281849, -0.7456049212785024, 7.507477397088012, 7.559885295627541]","[0.8702113586046509, -1.1973706617036546, 1.2566051092759891, 1.9445267608792944]","[-0.028402619109574645, 1.3268670730621235, 15.455431767142397, 15.540659844199894]"
"[1.6298073784907054, 0.6688832901892373, 13.062849070689449, 13.214463936780534]","[-1.8216877526366908, -2.1506600008604395, 6.283297140922677, 6.8872978214607965]","[-0.09705310941639139, 0.8739762055924389, 3.9958476346043255, 4.092824898029004]","[0.28893348356237447, 0.6078005050787618, 5.689425782420658, 5.805413343729661]"
"[2.126037910924435, 0.07402886495785808, 14.110920042134437, 14.301186533047886]","[0.4285797813165767, 0.5195404272708699, 0.4301888993208549, 0.8061197098353645]","[-2.1756754485624015, -0.8143824171620532, 8.446578578837263, 8.760858158896104]","[-0.37894224367861185, 0.2208131249333252, 6.0437321083445505, 6.13183559822064]"
"[1.38827631562686, 1.7356417784515779, 12.98540818519076, 13.207609306518732]","[0.31885345028328627, 0.6347280497612324, 1.5825782337036192, 1.7378908765131733]","[-1.730624867395737, -2.6634053854280606, 11.571738868711972, 12.000212278847368]","[0.023495101485588393, 0.29303555721524677, 2.891694341030755, 3.054287538120724]"
"[0.28710532397754557, 0.7884336593481109, 7.3516240209044845, 7.458604909295914]","[-2.4539710533655525, -1.2641130951563506, 7.924216194862249, 8.391920028454928]","[0.6629854661663291, 0.35345246001316777, 0.9245414120824408, 1.1960011728491486]","[1.503880263221677, 0.12222697579507175, 12.831038000787931, 12.953473889400005]"
