p1_xyzE,pmup_xyzE,pmum_xyzE,p3_xyzE
"[-0.22619010028943226, 0.7068190302244108, 3.6258429082151897, 3.8180945829031923]","[-1.3201628534482346, -0.19654549982596237, 2.5530141096453107, 2.882794607692068]","[-0.051158323996428945, -1.8960083375433068, 14.779282004424012, 14.900865913409303]","[1.5975112777340936, 1.3857348071448536, 8.07328060635257, 8.398244895995408]"
"[-0.8126014548595273, 0.1891903346861209, 1.411335847505204, 1.8890043217567536]","[-0.04105529192170967, 0.38856683359886746, 0.07729161598429876, 0.4120768472424672]","[1.5885356956514807, -0.554631859103838, 13.321124211173391, 13.427381577134309]","[-0.7348789488702451, -0.02312530918115019, 14.221667953974196, 14.271537253866452]"
"[0.4202311977802576, 0.9920539031977786, 1.94926948527399, 2.4167687267593685]","[-0.2998073702285077, -2.5475776196212703, 12.200632757898386, 12.467824168366576]","[-0.5230324154874559, 0.6749880027469085, 10.398461002892963, 10.4339985888993]","[0.40260858793570187, 0.8805357136765741, 4.483056382571853, 4.681408515974837]"
"[0.6576696952615091, -0.28245686420328664, 2.0260683173959437, 2.344700083366858]","[-0.6705514687693553, -1.7718183655080741, 14.825503084425021, 14.946427162097311]","[-0.2818004424106018, 1.3380945752337814, 10.725171543298243, 10.812510200122418]","[0.294682215918528, 0.7161806544776155, 1.4546766835178087, 1.8963625544133187]"
"[-0.007238424246291969, -0.7681222142051238, 5.902365978622239, 6.025640432545092]","[-0.2792743830840392, 0.7710058561273333, 0.49103283097261513, 0.9616241808973998]","[0.9717559619862459, 1.756026717894652, 12.128818697486421, 12.294199693069732]","[-0.6852431546559143, -1.7589103598168612, 10.50920212155583, 10.718535693487773]"
"[-1.3687193047566621, -0.278506275080552, 7.806926610946993, 7.986201583679759]","[-0.7267827407042353, -1.8564093010046583, 5.831861694397366, 6.164109269033563]","[1.551629300708243, 0.2503485363694447, 5.513952789826802, 5.734550275120224]","[0.5438727447526499, 1.8845670397157754, 9.878678533465923, 10.115138872166428]"
"[-1.8936931516508169, 0.46388021780065186, 7.970668001816315, 8.25912594347843]","[1.6017622834120344, 0.23068639037679628, 3.476082438196622, 3.8357751958853608]","[-1.3074246356130743, 0.14501438679329293, 6.056228014210598, 6.198342498060127]","[1.5993555038518599, -0.8395809949707373, 11.528441174413574, 11.70675636257608]"
"[1.4258114182016377, 1.0035572014195369, 6.4130312226600825, 6.711735175466345]","[0.06666166705592214, 0.8318126967806179, 4.351730553107629, 4.4322769047290524]","[-1.9645130966691176, -2.431015025472254, 15.837071450070379, 16.142897555539854]","[0.47204001141154395, 0.5956451272720884, 2.4295864027990888, 2.7130903642648185]"
"[-0.8643032121259071, 2.067516805373944, 8.39739482262566, 8.74175268101535]","[-0.10369263689037292, 0.48130963492881695, 0.5557721192610888, 0.7499715922170349]","[1.2753891159563326, -2.1376776609655637, 17.993608075872917, 18.165279474326127]","[-0.3073932669400421, -0.4111487793372125, 2.0846446108775436, 2.3429962524415897]"
"[1.8205962479497908, 1.513717282924767, 12.372686614571693, 12.632087678569189]","[0.2956538129652079, -0.3834863033098116, 0.18447660148151984, 0.5288366018017872]","[-2.298635984793257, -0.972156110956095, 12.626371940946974, 12.871101231004005]","[0.18238592387825053, -0.15807486865886555, 3.8478844716369385, 3.9679744886250363]"
"[-1.1815758772320926, 0.309037961873311, 4.7857892142853045, 5.027500250133176]","[-0.25370409986580306, -0.7475520379985823, 1.9211422166391376, 2.0796997017169794]","[2.830353092812765, 1.053252316389152, 17.229496958768802, 17.49248318956349]","[-1.395073115714892, -0.6147382402638836, 5.094991238943823, 5.400316858586308]"
"[-1.0285563250279481, 2.1982768463737643, 8.035446820580354, 8.446248229801022]","[0.6103805580261558, -0.8971775285898576, 1.1400287995673182, 1.5774413523899469]","[0.35349940779905603, -0.4338825805089565, 12.273162618118219, 12.286370505105316]","[0.06467635920273956, -0.8672167372749544, 7.582781390371231, 7.689939912703727]"
"[0.8484849109098345, 1.8377781781076201, 4.934507662064256, 5.415447856726631]","[0.9380263382314356, -0.84533441792431, 17.069894684763657, 17.116861623885082]","[-1.005272295045595, -0.23103221007469918, 2.2252122736881144, 2.454930048945278]","[-0.7812389540956759, -0.7614115501086227, 4.801805008121103, 5.0127604704430295]"
"[1.2173581333215346, 1.5427472611942254, 5.9402777582060615, 6.326870010305884]","[-2.1586688383288695, -1.7140313432151402, 19.48806414903329, 19.6823159838698]","[0.713775829071724, 0.09674875172888775, 1.8497373866718458, 1.987845131730266]","[0.22753487593563065, 0.07453533029204865, 1.7533403347258965, 2.0029688740940292]"
"[-0.8618239105252683, 0.15568136445026376, 1.313631985038909, 1.83656213564677]","[-0.665077507359528, 0.9135343561813231, 4.780684889417515, 4.913551132896465]","[2.3087193231838468, -0.5556811081501436, 12.027807902816956, 12.26043608389308]","[-0.7818179052990403, -0.5135346124814409, 10.90929485136369, 10.989450647563643]"
"[-0.8540671154419246, 0.6543356526286257, 2.4300733940848316, 2.8183677599992496]","[-0.6699827719558553, 0.16882325131349465, 0.8030081702186864, 1.0645956693992664]","[0.9505515543770036, 1.095327783251865, 16.298077269916682, 16.3628169188386]","[0.5734983330207784, -1.918486687193976, 9.500260794416896, 9.754219651762865]"
